id,title,subtitle,author,translator,language,series,category,edition,variant,price,special_price,deluxe_price,pages,description,image_url,local_image_filename,source_url,notes
1,Shivapada Ratnakosha,,HH Jagadguru Sri Shivarathri Deshikendra Mahaswamiji (Honorary Editor),,English (with Sanskrit and Kannada references),,Veerashaiva/Lingayat religious terminologies,,,Rs.1000,,,896,"A descriptive collection of Veerashaiva-Lingayat religious terminologies, using Sanskrit Shaiva Agamas, Kannada literature and Vachanas. Ten-year scholarly expedition under HH Jagadguru Sri Shivaratri Deshikendra Mahaswamiji.",https://jssonline.org/wp-content/uploads/2021/11/7_Shivapada_Ratnakosha.jpg,books/shivapada-ratnakosha/cover.jpg,https://jssonline.org/publications/books-published/shivapada-ratnakosha/,
2,Sadhana – Path of Liberation,,Sri M,,English,,Spirituality / Spiritual discourses,,,Rs.50,,,40,"Speech by Sri M, founder of Satsang Foundation, at 10th Golden Jubilee Endowment. Includes speeches by Dr N.K. Venkataramana and Dr N. Muthu Kumar.",https://jssonline.org/wp-content/uploads/2022/11/Sadhana_394x600.jpg,books/sadhana-path-of-liberation/cover.jpg,https://jssonline.org/sadhana-path-of-liberation/,
3,Patanjali Yoga Sutras,,Sri Siddheshwara Swamiji,,"English (Sanskrit original, English commentary)",,Yoga / Philosophy,,,Rs.300,Rs.500,,334,"Collection of aphorisms on Yoga in Sanskrit compiled by Sage Patanjali. Commentary by Sri Siddheswara Swamiji of Jnanayogashrama, Vijayapura. Messages from PM Narendra Modi and Swami Ramdev.",https://jssonline.org/wp-content/uploads/2022/11/Yoga-Sutra-_409x600.jpg,books/patanjali-yoga-sutras/cover.jpg,https://jssonline.org/patanjali-yoga-sutras/,
4,Narada Bhakti Sutras,,Sri Siddheshwara Swamiji,,"English (Sanskrit original, English commentary)",,Bhakti / Philosophy,,,Rs.100,Rs.160,,188,"Compilation of aphorisms on Bhakti by Sage Narada, attributed to 12th century. Helps sadhakas explore the path of devotion.",https://jssonline.org/wp-content/uploads/2022/11/Narada-Sutra_415x600.jpg,books/narada-bhakti-sutras/cover.jpg,https://jssonline.org/narada-bhakti-sutras/,
5,The Heritage of Sri Suttur Math,,,,English,,History / Institutional,,,Rs.300,,,143,,https://jssonline.org/wp-content/uploads/2022/11/Heritage-_603x600.jpg,books/the-heritage-of-sri-suttur-math/cover.jpg,https://jssonline.org/publications/books-published/kayaka-tapasvi-sri-shivaratri-rajendra-mahaswamigalu-telugu/,
6,Shiva Sutras,,Sri Siddheshwara Swamiji,,"English (Sanskrit original, English translation and commentary)",,Meditation / Kashmir Shaivism / Philosophy,,,Rs.200,Rs.400,,136,"77 aphorisms on Dhyana (Meditation) by Vasugupta, 10th century Kashmiri scholar. Translated from Sanskrit to English with commentary by Sri Siddheshwara Swamiji. Released by PM Narendra Modi at Sri Suttur Math, Mysuru.",https://jssonline.org/wp-content/uploads/2022/11/Shiva-Sutra_411x600.jpg,books/shiva-sutras/cover.jpg,https://jssonline.org/shiva-sutras/,
7,Kyathanahalli Sahukar Siddalingaiah,,Sri G.M. Shivaprasad,,English,,Biography,,,Rs.40,,,104,"Biography of Sri Kyathanahalli Sahukar Siddalingaiah, philanthropist and spiritual being, Zamindar from Kyathanahalli village who became disciple of HH Sri Manthra Maharshi Mahaswamiji of Sri Suttur Math.",https://jssonline.org/wp-content/uploads/2022/11/Sri-Siddalingaiah_396x600.jpg,books/kyathanahalli-sahukar-siddalingaiah/cover.jpg,https://jssonline.org/kyathanahalli-sahukar-siddalingaiah/,
8,Natyakalavisharada M.C. Mahadevaswamy,,Prof. M. Nataraja,,English,,Biography / Drama / Arts,,,Rs.40,,,104,"Life of Sri M.C. Mahadevaswamy, doyen of Kannada Dramas, worked for Gubbi Theatrical Company and later established 'Kannada Theatres Private Ltd.' Conferred title 'Natyakalavisharada' by Maharaja of Mysuru.",https://jssonline.org/wp-content/uploads/2022/11/Natyakalavisharadya_401x600.jpg,books/natyakalavisharada-m-c-mahadevaswamy/cover.jpg,https://jssonline.org/natyakalavisharada-m-c-mahadevaswamy/,
9,Kayaka Tapasvi Sri Shivaratri Rajendra Mahaswamigalu (Telugu),,Dr. H. Thipperudraswamy,Sri K. Venkateshwara Rao,Telugu,,Biography / Speeches,,,Rs.100,Rs.160,,188,"Collection of 23 lectures delivered at various JSS institutions by Dr. A.P.J. Abdul Kalam. First edition: 2008, Enlarged edition: 2021.",https://jssonline.org/wp-content/uploads/2021/11/6_Kayaka_Tapsvi_Sri-Shivaratri_Rajendra_Mahaswamigalu.jpg,books/kayaka-tapasvi-sri-shivaratri-rajendra-mahaswamigalu-telugu/cover.jpg,https://jssonline.org/publications/books-published/kayaka-tapasvi-sri-shivaratri-rajendra-mahaswamigalu-telugu/,
10,Bhakthibhandari Basaveshwararin Vachanangal (Tamil),,,Dr. M.V. Jambunathan,Tamil,,Vachana literature / Translation,2nd edition (2018),,Rs.60,,,272,"108 vachanas of Sri Basaveshwara translated into Tamil by Dr. M.V. Jambunathan, Professor of Statistics, University of Mysore. One of earliest attempts to take Basaveshwara's teachings to a neighbouring language (1976). Second edition: 2018.",https://jssonline.org/wp-content/uploads/2021/11/3_Bhaktibhandari_Basavasheswararin_Vachanangal.jpg,books/bhakthibhandari-basaveshwararin-vachanangal-tamil/cover.jpg,https://jssonline.org/bhakthibhandari-basaveshwararin-vachanangal-tamil/,
